id,pmid,year,study_type,evidence_quality,n,coi,effect_size,title,authors,url,ingredients,research_reviews
pmid-19574616,19574616,2009,,low,,,"","Is ginseng an ergogenic aid?","Bahrke MS et al.",https://pubmed.ncbi.nlm.nih.gov/19574616/,ginseng,
pmid-19587680,19587680,2009,,low,,,"","Rapamycin fed late in life extends lifespan in genetically heterogeneous mice","Harrison DE et al.",https://pubmed.ncbi.nlm.nih.gov/19587680/,rapamycin,
pmid-19621836,19621836,2009,,,,,"","N-acetylcysteine: multiple clinical applications","Millea et al.",https://pubmed.ncbi.nlm.nih.gov/19621836/,,
pmid-20651948,20651948,2009,Controlled Clinical Trial,high,12,,"","L-Tryptophan: Basic Metabolic Functions, Behavioral Research and Therapeutic","Richard DM et al.",https://pubmed.ncbi.nlm.nih.gov/20651948/,l-tryptophan,
pmid-18197562,18197562,2008,,low,,,"","Silicon: a review of its potential role in the prevention and treatment of","Spector TD et al.",https://pubmed.ncbi.nlm.nih.gov/18197562/,,
pmid-18296328,18296328,2008,RCT,high,19,,"","L-theanine, a natural constituent in tea, and its effect on mental state","Nobre AC et al.",https://pubmed.ncbi.nlm.nih.gov/18296328/,l-theanin,
pmid-18442638,18442638,2008,RCT,high,,,"","Efficacy of berberine in patients with type 2 diabetes mellitus","Yin J et al.",https://pubmed.ncbi.nlm.nih.gov/18442638/,berberine,
pmid-18515024,18515024,2008,Review,low,,,"","Pharmacology of Schisandra chinensis Bail.: an overview of Russian research","Panossian A et al.",https://pubmed.ncbi.nlm.nih.gov/18515024/,schisandra,
pmid-19017509,19017509,2008,,low,,,"","Coenzyme Q10: an independent predictor of mortality in chronic heart failure","Molyneux SL et al.",https://pubmed.ncbi.nlm.nih.gov/19017509/,coq10,
pmid-19623286,19623286,2008,,low,,,"","Causes and early diagnosis of vitamin B12 deficiency","Herrmann W & Obeid R",https://pubmed.ncbi.nlm.nih.gov/19623286/,vitamin-b12,
pmid-42356270,42356270,2008,RCT,high,,,"","Effects of Citrulline Malate Supplementation on Exercise Performance: A Systematic","Schwedhelm E et al.",https://pubmed.ncbi.nlm.nih.gov/42356270/,l-citrullin,
study-hyaluronsaeure-kalman-2008,,2008,,,,,"","Effect of oral hyaluronic acid supplementation on knee osteoarthritis pain","Kalman DS et al.",https://pubmed.ncbi.nlm.nih.gov/,,
pmid-16930802,16930802,2007,Clinical Trial,moderate,,,"","L-Theanine reduces psychological and physiological stress responses","Kimura et al.",https://pubmed.ncbi.nlm.nih.gov/16930802/,l-theanin,
pmid-17290373,17290373,2007,Clinical Trial,moderate,,,"","Tyrosine depletion alters cortical and limbic blood flow but does not modulate","Ellis et al.",https://pubmed.ncbi.nlm.nih.gov/17290373/,l-tyrosin,
pmid-17628176,17628176,2007,,low,,,"","Tocotrienols: the emerging face of natural vitamin E","Sen et al.",https://pubmed.ncbi.nlm.nih.gov/17628176/,vitamin-e,
pmid-17634462,17634462,2007,Review,low,,,"","Vitamin D Deficiency","Holick MF",https://pubmed.ncbi.nlm.nih.gov/17634462/,vitamin-d3-k2,
pmid-17828627,17828627,2007,RCT,high,17,,"","Creatine supplementation and cognitive performance in elderly individuals","McMorris T et al.",https://pubmed.ncbi.nlm.nih.gov/17828627/,kreatin,
pmid-17846391,17846391,2007,Meta-Analysis,high,,,"","Vitamin D supplementation and total mortality: a meta-analysis of randomized","Autier P & Gandini S",https://pubmed.ncbi.nlm.nih.gov/17846391/,vitamin-d3,
pmid-17951492,17951492,2007,Review,low,,,"","Inulin-type fructans: functional food ingredients","Roberfroid et al.",https://pubmed.ncbi.nlm.nih.gov/17951492/,inulin,
pmid-25268730,25268730,2007,Comparative Study,moderate,,,"","Rhodiola rosea for mental and physical fatigue in nursing students: a randomized","Darbinyan V et al.",https://pubmed.ncbi.nlm.nih.gov/25268730/,rhodiola,
pmid-41298601,41298601,2007,,low,,,"","Impact of zinc and chromium deficiency on gene expression in type 2 diabetes","Balk EM et al.",https://pubmed.ncbi.nlm.nih.gov/41298601/,chrom,
pmid-42453365,42453365,2007,,low,,,"","Wernicke encephalopathy in non-alcoholic patients following gastrointestinal","Sechi G et al.",https://pubmed.ncbi.nlm.nih.gov/42453365/,vitamin-b1,
